Město/Obec,PSČ,,Počet obyv.,Číslo vyhlášky,Název OZV,Účinnost vyhlášky,e) (VHP),g) (bingo),i) (živá hra),l) (CLS/IVT),m) (karty),n) (LLS),j),§50/3 (ostatní),Čas,Poznámka,
Praha,11000,,1272690,10/2015,"kterou se mění obecně závazná vyhláška č. 10/2013 Sb. hl. m. Prahy, kterou se stanoví místa a čas, na kterých lze provozovat loterie a jiné podobné hry, a kterou se stanoví opatření k omezení jejich propagace",1/1/2016,x,x,x,x,x,x,x,x,,seznam povolených adres,
Praha,11000,,1272690,10/2013,"kterou se stanoví místa a čas, na kterých lze provozovat loterie a jiné podobně hry, a kterou se stanoví opatření k omezení jejich propagace",4/10/2013,x,x,x,x,x,x,x,x,čas provozování - viz přílohy OZV,nový seznam povolených adres;,
Prachatice,38301,,11525,2/2014,"o stanovení míst, na kterých je provozování některých sázkových her povoleno",7/10/2014,x,,x,x,,x,,,,seznam povolených adres,
Prachatice,38301,,11525,1/2009,"o stanovení veřejně přístupných míst, kde mohou být provozovány výherní hrací přístroje",11/8/2009,x,,,,,,,,,seznam povolených adres (není zcela shodný s pozdější vyhláškou!);,
Proseč,53944,,2184,6/2011,"jíž se zakazuje na celém území města Proseč provozovat výherní hrací přístroje, interaktivní videoloterní terminály a technická hrací zařízení povolovaná podle 50 odst. 3 zákona č. 202/1990 o loteriích a jiných podobných hrách, ve znění pozdějších předpisů",1/1/2012,x,,,x,,x,x,x,,zákaz na celém území města;,
Prostějov,79601,,44526,2/2012,"kterou se stanoví místa na území města Prostějova, na kterých lze provozovat sázkové hry podle § 2 písm. e), g), i), l), m), n a loterie a jiné podobné hry podle § 2 písm. j a § 50 odst. 3 zákona 202/1990 o loteriích a jiných podobných hrách, ve znění pozdějších předpisů",2/3/2012,x,x,x,x,x,x,x,x,,seznam povolených adres;,
Prostřední Bečva,75656,,1686,1/2013,"o regulaci provozování sázkovývh her, loterií a jiných podobných her",1/4/2013,x,x,x,x,x,x,x,x,"Ne až Čt: 12:00-23:00, Pá + So: 12:00-22:00",;,
Průhonice,25243,,,1/2016,o úplném zákazu provozování některých loterií a jiných podobných her,12/2/2016,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Přáslavice,78354,,1363,1/2013,"kterou se stanoví zákaz provozování sázkových her, loterií a jiných podobných her na celém území obce",1/1/2014,x,x,x,x,x,x,x,x,,zákaz na celém území obce;,
Předklášteří,66602,,1447,2/2013,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém katastru obce Předklášteří,15/6/2013,x,x,x,x,x,x,x,x,,zákaz na celém území;,
Předmíř,38742,,316,5/2011,"o stanovení veřejně přístupných míst, na kterých je provozování výherních hracích přístrojů zakázáno",1/1/2012,x,,x,,,,x,,,"zákaz na všech veřejně přístupných místech v obci Předmíř a jejích částech Metly, Řiště, Zámlyní;",
Přelouč,53501,,9108,7/2015,"již se stanoví čas, ve kterém lze provozovat sázkové hry podle § 2 písm. e), g), i), l), m) a n) a loterie a jiné podobné hry podle § 2 písm. j) a § 50 odst. 3 zákona č. 202/1990 Sb., o loteriích a jiných podobných hrách, ve znění pozdějších předpisů",17/7/2015,x,x,x,x,x,x,x,x,"neděle až čtvrtek od 06:00 hod - do 24:00 hod, pátek a sobota od 06:00 hod - do 02:00 hod ranních následujícího dne, ",,
Přerov,75002,,45438,2/2016,o regulaci provozování loterií a jiných podobných her,4/11/2016,x,x,x,x,x,x,x,x,,"povoluje provozování do 31.12.2018 pouze v kasinech mimo centrum města, dle přílohy č. 1",
Přerov nad Labem,28916,,1148,5/2013,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území obce,16/12/2013,x,x,x,x,x,x,x,x,,"zákaz na celém území, zrušuje se OZV 4/2013;",
Přeštice,33401,,7361,1/2014,"kterou se mění obecně závazná vyhláška č. 9/2013, jíž se zakazuje provozovat výherní hrací přístroje, interaktivní videoloterní terminály a technická hrací zařízení povolovaná podle § 50 odst. 3 zákona č. 202/Sb., o lotericích a jiných podobných hrách, ve znění pozdějších předpisů",3/3/2014,x,,,x,,,,x,,změna OZV č. 9/2013 (Povolení k provozování výherních hracích přístrojů na rok 2014 vydaná před platností OZV č. 9/2013 zůstávají v platnosti do 31. 12. 2014.),
Přeštice,33401,,7361,9/2013,"jíž se zakazuje provozovat výherní hrací přístroje, interaktivní videoloterní terminály a technická hrací zařízení povolovaná podle § 50 odst. 3 zákona č. 202/1990 Sb., o loteriích a jiných podobných hrách, ve znění pozdějších předpisů",1/1/2014,x,,,x,,,,x,,,
Přeštice,33401,,7361,7/2011,,1/1/2012,x,,,x,,x,x,x,,zákaz na celé území města;,
Přeštice,33401,,7361,3/2007,,3/5/2007,x,,,,,,,,,seznam zakázaných adres + 100 m;,
Přeštice,33401,,7361,5/2006,,15/12/2006,x,,,,,,,,,seznam zakázaných adres + 100 m;,
Přešťovice,38601,,,2/2015,"o zákazu provozování sázkových her, loterií a jiných podobných her na území všech částí obce Přešťovice",15/4/2015,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Příbram,26101,,34022,1/2014,"o stanovení míst, na kterých mohou být provozovány výherní hrací přístroje, loterie a jiné podobné hry",22/1/2015,x,,,x,,x,,x,,seznam povolených adres,
Přibyslav,58222,,4019,1/2012,o zákazu provozování loterií a jiných podobných her,1/6/2012,x,x,x,x,,x,x,x,,zákaz na celém území města;,
Přílepy,76901,,876,1/2012,"o regulaci sázkových her, loterií a podobných her",23/5/2012,x,x,x,x,x,x,x,x,v otevírací době pohostinských zařízení,pouze v pohostinských zařízeních a místedch dle §17 odst.8 a 10;,
Radnice,33828,,1781,3/2011,"o stanovení veřejných míst, na kterých je provozování výherních hracích přístrojů zakázáno",29/12/2011,x,,,,,,,,,zákaz IVT na celém území města;,
Radonice,43155,,1193,1/2013,"o regulaci provozování sázkových her, loterií a jiných podobných her",19/7/2013,x,x,x,x,x,x,x,x,,zákaz na celém území obce;,
Raduň,74761,,1000,1/2013,kterou se ruší obecně závazná vyhláška č. 1/2012,1/1/2014,x,x,x,x,x,x,x,x,,zákaz na celém území obce;,
Rájec-Jestřebí,67902,,3645,1/2012,o zákazu provozování loterií a jiných podobných her na celém území města Rájec - Jestřebí,21/6/2012,x,x,x,x,x,x,x,x,,zákaz na celém území obce;,
Ráječko,67902,,,1/2015,o zákazu provozování loterií a jiných podobných her na celém území obce Ráječko,8/4/2015,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Rajhrad,66461,,,1/2015,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území města,1/1/2018,x,,,x,,,,x,,zákaz na celém území města,
Rajhradice,66461,,1290,3/2012,"o stanovení míst a času, ve kterých mohou být provozovány loterie a jiné podobné hry na území obce",11/12/2012,x,x,x,x,x,x,x,x,lze od 19:00 do 5:00,jediná povolená adresa;,
Rakovník,26901,,16731,9/2011,"o regulaci provozování sázkových her, loterií a jiných podobných her",1/1/2012,x,x,x,x,x,x,x,x,,zákaz na celém území města;,
Ralsko,47124,,1786,1/2013,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území města,1/1/2014,x,x,x,x,x,x,x,x,,"zákaz na celém území, zrušuje se OZV 1/2010;",
Rantířov,58841,,,5/2014,o regulaci provozování loterií a jiných podobných her,13/3/2014,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Rohov,74726,,,3/2014,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území obce,1/1/2015,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Rohoznice,50771,,311,1/2013,o regulaci provozování loterií a jiných podobných her,1/1/2014,x,x,x,x,x,x,x,x,,zákaz na celém území;,
Rokycany,33701,,14405,6/2012,"o zákazu provozování sázkových her, loterií a jiných podobných her",26/12/2012,,x,x,x,x,x,x,x,,zákaz na celém území města;,
Rokycany,33701,,14405,7/2011,o zákazu provozování výherních hracích přístrojů,20/12/2011,x,,,,,,,,,zákaz na celém území města;,
Ronov nad Doubravou,53842,,,1/2015,o zákazu provozování loterií a jiných podobných her na území města,6/5/2015,x,x,x,x,x,x,x,x,,zákaz na celém území města,
Rotava,35701,,,3/2015,o regulaci provozování loterií a jiných podobných her,1/7/2016,x,x,x,x,x,x,x,x,,zákaz na celém území města,
Rotava,35701,,,7/2015,"o regulaci provozování loterií a jiných podobných her, kterou se mění obecně závazná vyhláška č. 3/2015, o regulaci provozování loterií a jiných podobných her",20/1/2016,,,,,,,,,,mění účinnost OZV č. 3/2015,
Roudnice nad Labem,41301,,13229,2/2013,"o regulaci  provozování sázkových her, loterií a jiných podobných her",1/12/2013,x,x,x,x,x,x,x,x, lze od 15:00 hod do 06:00 hod na povolených adresách,"""seznam povolených adres, všude jinde zákaz;  zrušuje se  OZV 10/2011"";",
Rousínov,68301,,5365,6/2014,o regulaci provozování loterií a jiných podobných her,30/10/2014,x,x,x,x,x,x,x,x,,"zrušuje OZV č. 5/2014, seznam povolených adres, stanoven maximální počet IVT",
Rozhraní,56903,,,1/2016,o regulaci provozování loterií a jiných podobných her,23/3/2016,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Rozseč nad Kunštátem,67973,,,2/2012,"o stanovení míst a času, ve kterých mohou být provozovány loterie a jiné podobné hry na území obce",1/1/2013,x,x,x,x,x,x,x,x,pouze v době otevíracích hodin provozoven,"lze provozovat poze  vhernách, pohostinských zařízení a jiných místech dle § 17 odst. 8a 10 zákona o loteriích",
Roztoky,25263,,,4/2014,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území obce,1/1/2015,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Rozvadov,34806,,782,2/2012,"o stanovení míst, kde mohou být provozovány loterie a jiné podobné hry na území obce",1/6/2012,x,x,x,x,x,x,x,x,,seznam povolených adres;,
Rožďalovice,28934,,1626,1/2015,"K zabezpečení místních záležitostí veřejného pořádku v oblasti omezení hazardu a o stanovení veřejně přístupných míst, na kterých je provozování sázkových her, loterií a jiných podobných her zakázáno",11/4/2015,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Rožnov pod Radhoštěm,75661,,16942,5/2005,"O stanovení veřejně přístupných míst, na kterých je provozování výherních hracích přístrojů zakázáno.",1/1/2006,x,,,,,,,,,seznam zakázaných adres + 100 m;,
Rtyně v Podkrkonoší,54233,,3028,1/2011,"O stanovení veřejně přístupných míst, na kterých je provozování výherních hracích přístrojů a zařízení zakázáno.",1/1/2012,x,x,x,x,x,x,,x,,zákaz na celém území města;,
Ruda nad Moravou,78963,,,1/2016,"o zákazu provozování sázkových her, loterií a jiných podobných her na celém území obce",1/1/2017,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Rudná,25219,,4662,2/2014,"kterou se mění Obecně závazná vyhláška č. 1/2012 o stanovení míst, na kterých je provozozování loterií a jiných podobných her zakázáno",4/6/2014,x,x,x,x,x,x,x,x,,"mění čl. 1 OZV č. 1/2012: zákaz ve všech kasinech, hernách a míst § 17 odst. 8 a10 LOT.Z. s vyjímkou kasina v nemovitosti čp. 951 na stavebním pozemku parc. č. 696 k. ú. Dušníky u Rudné, 252 19 Rudná.   V pohostinských zařízení lze provozovat max 2 VHP na provozovnu.",
Rudná,25219,,4662,1/2012,"o stanovení míst, ve kterých je provozování loterií a jiných podobných her zakázáno",20/9/2012,x,x,x,x,x,x,x,x,,"zákaz ve všech kasinech, hernách a míst §17 odst. 8 a10 LOT.Z. V pohostinských zařízení lze provozovat max 2 VHP dle §2 písm. e)g)i)l)m)n) LOT.Z.;",
Rudolfov,37371,,2418,1/2013,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území města včetně místní části Hlinsko,15/7/2013,x,x,x,x,x,x,x,x,,zákaz na celém území;,
Rumburk,40801,,11328,2/2012,o provozování výherních zařízení,21/4/2012,x,x,x,x,x,x,x,x,,"""povoleny jen čtyři provozovny, jinak zákaz na celém území města; g)+m)+j)+50/3 zákaz všude"";",
Rybí,74265,,1199,1/2012,o regulaci provozování loterií a jiných podobných her,1/3/2012,x,x,x,x,x,x,x,x,,zákaz na celém území obce;,
Rybitví,53354,,1527,2/2012,o zákazu provozování výherních hracích přístrojů a interaktivních videoloterijních terminálůna území obce Rybitví,12/8/2012,x,,,x,,,,,,zákaz na celém území obce;,
Rybnice,33151,,476,3/2015,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území obce,7/10/2015,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Rybnice,33151,,476,2/2015,"kterou se zrušuje vyhláška č. 1/2006 o stanovení veřejně přístupných míst, na kterých je provzování výherních hracích přístrojů zakázáno",4/10/2015,,,,,,,,,,zrušuje OZV č. 1/2006,
Rychnov nad Kněžnou,51601,,11823,3/2015,"o stanovení míst, na kterých je povoleno provozování vymezných sázkových her, loterií a jiných podobných her a omezení jejich propagace",10/7/2015,x,x,x,x,x,x,x,x,,seznam povolených adres,
Rychvald,73532,,7107,5/2011,o regulaci provozování loterií a jiných podobných her,30/12/2011,x,x,x,x,x,x,x,x,,zákaz na celém území města;,
Rýmařov,79501,,8856,2/2015,"kterou se mění a doplňuje Obecně závazná vyhláška č. 02/2013, o regulaci loterií a jiných podobných her na území obce",1/6/2015,x,x,x,x,x,x,x,x,od 09:00 hodin di 02:00 hodin,"mimo místa, kde platí úplný zákaz, lze provozovat pouze v čase od 09:00 hodin di 02:00 hodin",
Rýmařov,79501,,8856,2/2013,o regulaci loterií a jiných podobných her na území obc,1/1/2014,x,x,x,x,x,x,x,x,na ostatních místech lze pouze  od 20.00 do 5.00,"vymezení území, kde je úplný zákaz, na ostatních místech lze pouze  od 20.00 do 5.00;",
Rýmařov,79501,,8856,1/2013,o regulaci loterií a jiných podobných her na území obce,18/2/2013,,,,,,,,,,ruší OZV 6/2012 !;,
Řehlovice,40313,,1310,1/2012,"o regulaci provozování sázkových her, loterií a jiných podobných her",5/1/2012,x,x,x,x,x,x,x,x,,"zákaz na celém území obce, zrušuje se OZV 4/2011;",
Říčany,25101,,13769,5/2016,kterou se ruší příloha OZV č. 1/2013 a nahrazuje novou přílohou č. 1,1/7/2016,x,x,x,x,x,x,x,x,,seznam povolených adres,
Říčany,66482,,,1/2014,"jíž se zakazuje provozování sázkových her, loterií a jiných podobných her",16/4/2014,x,x,x,x,x,x,x,x,,zákaz na celém území;,
Říčany,25101,,13769,2/2013,"o stanovení míst, kde mohou být provozovány loterie a jiné podobné hry na území města Říčany",2/10/2013,x,x,x,x,x,x,x,x,,"seznam povolených adres, zrušuje OZV 2/2011 a 5/2011;",
Římov,37324,,800,3/2008,"o zákazu provozování sázkových her, loterií a jiných podobných her",1/7/2008,x,,,,,,,,lze 0:00 - 02:00,jen na části území;,
Sedlčany,26401,,7552,2/2012,"o zákazu provozování některých sázkových her, loterií a jiných podobných her",15/3/2012,x,,,x,,x,,x,,zákaz na celém území;,
Sivice,66407,,1022,3/2015,o regulaci provozování loterií a jiných podobných her,30/12/2015,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Sivice,66407,,1022,1/2013,k zabezpěčení místních záležitostí veřejného pořádku,1/4/2013,x,x,x,x,x,x,x,x,,zákaz na celém území;,
Skuteč,53973,,5254,1/2013,"jíž se zakazuje na územním obvodu města Skuteč provozovat výherní hrací přístroje, interaktivní videloterní terminály a technická zařízení povolovaná dle § 50 odst. 3 zákona č. 202/1990 Sb. o loteriích a jiných podobných hrách, ve znění pozdějších předpisů",1/4/2013,x,x,x,x,x,x,x,x,,"zákaz na celém území města, ruší se OZV 7/2011;",
Slaný,27401,,15306,4/2013,"o určení míst a času pro provozování výherních hracích přístrojů, interaktivních videoloterních terminálů a lokálních loterních systémů  na území města Slaného",15/12/2013,x,,,x,,x,,,lze od 18:00 do 06:00,"seznam povolených adres,zrušuje se OZV 4/2012;",
Slatiňany,53821,,4122,6/2011,"o stanovení míst a času, ve kterém mohou být provozovány výherní hrací přístroje, koncové interaktivní videoloterní terminály a herní místa lokálního herního systému",1/1/2012,x,,,x,,x,,,lze od 8.00 do 2.00,seznam povolených adres;,
Slavičín,76321,,6893,1/2015,o regulaci loterií a jiných podobných her,1/1/2017,x,x,x,x,x,x,x,x,,zákaz na celém území města,
Slavičín,76321,,6893,4/2011,"o stanovení míst a času, ve kterém mohou být provozovány výherní hrací přístroje",24/6/2004,x,,,,,,,,bez omezení,seznam povolených adres;,
Slavkov pod Hostýnem,76861,,558,1/2009,"o stanovení místa, kde mohou být umístěny výherní hrací přístroje",1/6/2009,x,,,,,,,,16:00-23:00hod,1 povolená adresa;,
Slavkov u Brna,68401,,6303,5/2004,o zabezpečení některých místních záležitostí veřejného pořádku,1/11/2009,x,,,,,,,,"?po-čt od 20:00 do 24:00, pá-so od 8,00 do 02:00?",vymezená území města (viz příloha č. 1);,
Slezské Rudoltice,79397,,628,3/2009,O provozování výherních hracích přístrojů,26/4/2007,x,,,,,,,,pouze v době otevíracích hodin provozoven,"""povoleno v místech, kde je povolena hostinská činnost; 100 m"";",
Soběslav,39201,,7286,2/2014,"o stanovení míst, na kterých mohou být provozovány výherní hrací přístroje, interaktivní videoloterní terminály a lokální loterní systémy na území města Soběslavi",12/7/2014,x,,,x,,x,,,,seznam povolených adres,
Sobětuchy,53701,,834,2/2005,"o stanovení veřejně přístupných míst, na kterých je provozování výherních hracích přístojů zakázáno",1/1/2012,x,,,,,,,,,seznam zakázaných adres;,
Sojovice,29475,,,1/2014,o regulaci provozování loterií a jiných pobných her,20/3/2014,x,x,x,x,x,x,x,x,,zákaz na celém území;,
Sokolnice,66452,,1881,2/2012,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území obce Sokolnice,1/10/2012,x,x,x,x,x,x,x,x,,zákaz na celém území obce;,
Sokolov,35601,,24177,2/2014,"kterou se mění obecně závazná vyhláška č. 4/2013, o regulaci provozování loterií a jiných podobných her",19/2/2014,x,x,x,x,x,x,x,x,,změna seznamu povolených adres,
Sokolov,35601,,24177,4/2013,o regulaci provozování loterií a jiných podobných her,1/4/2013,x,x,x,x,x,x,x,x,,"ruší OZV 4/2011, seznam povolených adres;",
Spálené Poříčí,33561,,2732,1/2012,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území města,24/4/2012,x,x,x,x,x,x,x,x,,zákaz na celém území;,
Spálov,74237,,,1/2015,"o zákazu provozování sázkových her, loterií a jiných podobných her na celém území městyse",2/10/2015,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Spořice,43101,,,2/2015,"o regulaci provozování sázkových her, loterií a jiných podobných her",16/6/2015,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Stanovice,36001,,,2/2009,"o stanovení míst a času, ve kterém mohou být provozovány výherní hrací přístroje",9/10/2009,x,,,,,,,,lze od 17:00 do 24:00h,jedna povolená adresa,
Stará Paka,50791,,,1/2013,"o stanovení míst a času, ve kterých mohou být provozovány loterie a jiné podobné hry ba území obce",1/1/2014,x,,x,x,,,x,x,lze od 10:00 do 2:00h,seznam povolených adres (2),
Staré Křečany,40761,,1297,11/2011,"o regulaci provozování sázkových her, loterií a jiných podobných her",1/1/2012,x,x,x,x,x,x,x,x,,zákaz na celém území obce;,
Staré Město,73801,,,1/2016,o regulaci provozování loterií a jiných podobných her ,11/2/2016,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Staré Město,78832,,,2/2015,"jímž se zakazuje na území města Staré Město provozovat výherní hrací přístroje, interaktivní videoterminály a jiné podobné hry",1/1/2016,x,x,x,x,x,x,x,x,,zákaz na celém území města,
Staré Město,68603,,6925,1/2007,"O stanovení míst, ve kterých mohou být provozovány výherní hrací přístroje",15/12/2011,x,,,,,,,,,seznam povolených adres;,
Strahovice,74724,,932,1/2013,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území obce Strahovice,9/4/2013,x,,,x,,,,,,zákaz na celém území obce;,
Strachotín,69201,,796,2015,"Dodatek č. 1 k obecně závazné vyhlášce obce Strachotín č. 1/2012, kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území obce",28/8/2015,,,,,,,,,,zrušuje přechodné ustanovení OZV č. 1/2012,
Strachotín,69201,,796,1/2012,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území obce,6/6/2012,x,x,x,x,x,x,x,x,,zákaz na celém území obce;,
Strakonice,38601,,23096,3/2013,"kterou se mění obecně závazná vyhláška města Strakonice č. 7/2011 o stanovení míst a času, ve kterém je provozování některých sázkových her povoleno",1/10/2013,x,,x,x,,x,,,,změna seznamu povolených adres!!;,
Strakonice,38601,,23096,7/2011,"o stanovení míst a času, ve kterém je provozování některých sázkových her povoleno",28/2/2008,x,,x,x,,x,,,"po-čt, ne+svátky od 6:00 do 22:00, pá-so od 6:00 do 24:00",seznam povolených adres;,
Stránecká Zhoř,59442,,582,2/2012,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území obce,11/7/2012,x,x,x,x,x,x,x,x,,zákaz na celém území;,
Strašice,33845,,2438,2/2008,"kterou se mění  obecně závazná vyhláška obce Strašice č. 1/2000 o stanovení veřejně přístupných míst, na kterých je provozování výherních hracích přístrojů zakázáno",28/2/2008,x,,,,,,,,,seznam zakázaných adres + 100 m;,
Stráž pod Ralskem,47127,,4238,3/2013,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území města,14/9/2013,x,x,x,x,x,x,x,x,,"zákaz na celém území, zrušuje se OZV 2/2012;",
Strážný,38443,,432,2/2015,"kterou se mění obecně závazná vyhláška Městyse Strážný č. 1/2012 ze dne 20.3.2012 o stanovení míst, kde je možné provozovat sázkové hry, loterie a jiné podobné hry v znění obecně závazné vyhlášky Městyse Strážný č. 3/2012 ze dne 2.5.2012, obecně závazné vyhlášky Městyse Strážný č. 6/2012 ze dne 28.6.2012 a obecně závazné vyhlášky Městyse Strážný č. 1/2013 ze dne 19.3.2013",26/12/2015,x,x,x,x,x,x,x,x,,seznam povolených adres (povolená parcelní čísla) ,
Strážný,38443,,432,1/2013,"kterou se mění obecně závazná vyhláška Městyse Strážný č. 1/2012 ze dne 20. 3. 2012 o stanovení míst, kde je možné provozovat sázkové hry, loterie a jiné podobné hry v znění obecně závazné vyhlášky Městyse Strážný č. 3/2012 ze dne 2. 5. 2012 a obecně závazné vyhlášky Městyse Strážný č. 6/2012 ze dne 28. 6. 2012",3/4/2013,x,x,x,x,x,x,x,x,,nové znění článku 2 - Určení míst (povolená parcelní čísla) ,
Strážný,38443,,432,6/2012,"kterou se mění obecně závazná vyhláška Městyse Strážný č. 1/2012ze dne 20.3.2012 o stanovení míst, kde je možné provozovat sázkové hry, loterie a jiné podobné hry v znění obecně závazné vyhlášky Městyse Strážný č. 3/2012 ze dne 2.5.2012",24/7/2012,x,x,x,x,x,x,x,x,,nové znění článku 2 - Určení míst (povolená parcelní čísla),
Strážný,38443,,432,1/2012,"o stanovení míst, kde je možné provozovat sázkové hry, loterie a jiné podobné hry",24/5/2012,x,x,x,x,x,x,x,x,,seznam povolených míst (parcelní čísla);,
Strážný,38443,,432,3/2012,"kterou se mění obecně závazná vyhláška Městyse Strážný č. 1/2012 o stanovení míst, kde je možné provozovat sázkové hry, loterie a jiné podobné hry",24/5/2012,x,x,x,x,x,x,x,,,novelizuje vyhlášku 1/2012 v seznamu povolených míst;,
Strunkovice nad Blanicí,38426,,1173,2/2011,"o stanovení veřejně přístupných míst, na kterých je provozování výherních hracích přístrojů zakázáno",3/1/2004,x,,,,,,,,,zákaz na všech veřejně přístupných místech;,
Střelná,75612,,,1/2014,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území obce,1/3/2014,x,x,x,x,x,x,x,x,,zákaz na celém území; přechodňák;,
Stříbro,34901,,8056,1/2016,"o stanovení míst, na kterých mohou být provozovány výherní hrací přístroje, loterie a jiné podobné hry",20/4/2016,x,,,x,,x,,x,,seznam povolených adres,
Studená,37856,,2419,5/2011,"O stanovení veřejně přístupných míst, na kterých je provozování výherních hracích přístrojů zakázáno",1/1/2012,x,,,,,,,,,zákaz na všech veřejně přístupných místech;,
Studénka,74213,,9984,3/2015,o zákazu konzumace alkoholických nápojů na veřejném prostranství,8/10/2015,,,,,,,,,,zrušuje OZV č. 2/2012,
Sulice,25168,,,1/2014,o regulaci provozování loterií a jiných podobných her,30/1/2014,x,x,x,x,x,x,x,x,-,zákaz na celém území,
Sušice,34201,,11591,2/2013,"kterou se mění obecně závazná vyhláška č.2/2011 o stanovení veřejně přístupných míst, na kterých je provozování sázkových her, loterií a jiných podobných her zakázáno",4/10/2013,x,x,x,x,x,x,x,x,,mění se OZV 2/2011 - přidán přechodňák;,
Sušice,34201,,11591,2/2011,"o stanovení veřejně přístupných míst, na kterých je provozování sázkových her, loterií a jiných podobných her zakázáno",18/5/2012,x,x,x,x,x,x,x,x,,zákaz na celém území města;,
Svatobořice-Mistřín,69604,,,1/2015,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území obce,10/3/2015,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Světlá nad Sázavou,58291,,6791,4/2012,o regulaci provozování loterií a jiných podobných her,20/9/2012,x,x,x,x,x,x,x,x,,seznam povolených adres;,
Svitavy,56802,,17090,4/2012,"kterou se mění obecně závazná vyhláška města Svitavy č. 3/2012 o stanovení míst a času, ve kterém mohou být provozovány sázkové hry, loterie a jiné podobné hry",13/7/2012,x,x,x,x,x,x,x,x,,mění přlohu vyhlášky č. 3/2012;,
Svitavy,56802,,17090,3/2012,"o stanovení míst a času, ve kterém mohou být provozovány sázkové hry, loterie a jiné podobné hry",22/5/2012,x,x,x,x,x,x,x,x,od 10:00 do 02:00,seznam povolených adres;,
Svoboda nad Úpou,54224,,2171,1/2011,"o stanovení veřejně přístupných míst a času, ve kterých je provozování výherních hracích přístrojů, koncových interaktivních videoloterijních terminálů a herních míst lokálního systému zakázáno",1/4/2012,x,,,x,,x,,,zákaz od 13.00 do 19.00,zákazna veřejně přístup. místech ve vyznačených lokalitách;,
Svrkyně,25264,,,1/2016,"o zákazu provozování sázkových her, loterií a jiných podobných her na celém území obce Svrkyně a Hole",5/4/2016,x,x,x,x,,x,x,x,,zákaz na celém území obce,
Šakvice,69167,,1369,2/2012,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území obce,19/7/2012,x,x,x,x,x,x,x,x,,zákaz na celém území obce;,
Šanov,27031,,488,1/2011,"o stanovení veřejně přístupných míst, na kterých je provozování výherních hracích přístrojů zakázáno",8/3/2011,x,,,,,,,,,"výčet míst, kde provozování zakázáno!;",
Šardice,69613,,2232,1/2012,o zákazu provozování loterií a jiných podobných her na území obce Šardice,19/4/2012,x,x,x,x,x,x,x,x,,zákaz na celém území obce;,
Šestajovice,25092,,2934,4/2012,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území obce,1/1/2013,x,x,x,x,x,x,x,x,,zákaz na celém území obce;,
Šlapanice,66451,,6989,2/2013,o regulaci provozování loterií a jiných podobných her na území města Šlapanice,1/9/2013,x,x,x,x,x,x,x,x,,zákaz na celém území obce;,
Šluknov,40777,,5647,2/2012,"o regulaci provozování sázkových her, loterií a jiných podobných her",1/4/2012,x,x,x,x,x,x,x,x,lze od 10:00 do 24:00,;,
Šonov,54971,,,2/2014,o zákazu provozování loterií a jiných podobných her na celém území obce,10/12/2014,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Štarnov,78314,,607,2/2007,O regulaci provozu výherních hracích přístrojů,1/6/2011,x,,,,,,,,,seznam zakázaných adres;,
Štěchovice,25207,,1672,1/2011,kterou se stanoví kdy a kde mohou být provozovány výherní hrací přístroje nebo jiná technická herní zařízení,1/1/2012,x,,,x,,x,,,od 10.00 do 01.00,seznam povolených adres a jejich provozu;,
